description,product_url,source,product_name,image_url,category,price,colors,brand,material,timestamp,id
Men Oxford Long Sleeves shirt,https://www.myntra.com/shirts/h%26m/hm-men-oxford-long-sleeves-shirt/30154241/buy,myntra.com,H&M Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30154241/2024/7/9/2b27cdd4-cb0c-4d81-9a37-02ab0c70d4c61720469289122HMOxfordshirt1.jpg",Shirts,₹1274,[],H&M,,1739499324.903798,EodnhkpBW11DeLeb9GjM
Men Relaxed Fit Spread Collar Textured Casual Shirt,https://www.myntra.com/jackets/nobero/nobero-men-relaxed-fit-spread-collar-textured-casual-shirt/31073543/buy,myntra.com,NOBERO Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/23/ZKqhYWS4_da98238f709941d989d2183a90a7cfdd.jpg",Jackets,₹1699,[],NOBERO,Polyester,1739500428.819988,Es0dv88ZQOuS6wu3Il20
Men Slim Fit Tartan Checks Checked Casual Shirt,https://www.myntra.com/shirts/ad+by+arvind/ad-by-arvind-men-slim-fit-tartan-checks-checked-casual-shirt/31260349/buy,myntra.com,AD By Arvind Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/9/7w8eFys7_fccc241c381e47dca41e5b4cc174250b.jpg",Shirts,₹1494,[],AD By Arvind,,1739499321.21001,EsOmf5PwPBpaW8rOMEkb
Women Graphic Printed Round Neck Cotton Oversized T-Shirt,https://www.myntra.com/tshirts/hellcat/hellcat-women-graphic-printed-round-neck-cotton-oversized-t-shirt/30313118/buy,myntra.com,HELLCAT Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30313118/2024/7/22/58f13606-689b-4976-9306-1a1fda107bed1721644493011HELLCATWomenColourblockedAppliqueT-shirt1.jpg",Tshirts,₹299,[],HELLCAT,Cotton,1739499808.885197,EsgATgE2UG3LY0xlxrZS
Drop-Shoulder Sleeves Pure Cotton T-shirt,https://www.myntra.com/tshirts/mango/mango-drop-shoulder-sleeves-pure-cotton-t-shirt/31842441/buy,myntra.com,MANGO Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/DECEMBER/13/1R8zyj1r_b7d13c2d69b047abb6f4abe634aa3e3f.jpg",Tshirts,₹623,[],MANGO,Pure Cotton,1739499935.221496,ExFtV45J4Hj0qcHKw0va
Men Santhe Checked Slim Fit Cotton Shirt,https://www.myntra.com/shirts/rare+rabbit/rare-rabbit-men-santhe-checked-slim-fit-cotton-shirt/23433404/buy,myntra.com,RARE RABBIT Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23433404/2023/12/18/d8f11dfe-307e-43f6-91df-d2eb42f891201702897478447RARERABBITCheckedSlimFitCottonCasualShirt1.jpg",Shirts,₹ 3999,[],RARE RABBIT,,1739499499.521604,FCZXa8bxS2vS22n4ATRf
Men Typography Printed Applique T-shirt,https://www.myntra.com/tshirts/jack+%26+jones/jack--jones-men-typography-printed-applique-t-shirt/32695199/buy,myntra.com,Jack & Jones Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/FEBRUARY/7/UhYJILr4_d90b40413c7243b58e01b22d1f831f24.jpg",Tshirts,₹ 1499,[],Jack & Jones,Cotton,1739499658.368888,FDkpF6BLDsEKOyJeAPVv
Women Wide Leg High-Rise Heavy Fade Denim Jeans,https://www.myntra.com/jeans/stylecast/stylecast-women-wide-leg-high-rise-heavy-fade-denim-jeans/30646211/buy,myntra.com,StyleCast Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/21/Kq5Q3eMZ_a1b2f3fcaccb4cc4992ed16a5ef9b509.jpg",Jeans,₹1329,[],StyleCast,,1739501084.585267,FHYtPtytzrn3uyni5TQi
Girls Mid Rise Pure Cotton Smart Joggers Trousers,https://www.myntra.com/trousers/here%26now/herenow-girls-mid-rise-pure-cotton-smart-joggers-trousers/29798072/buy,myntra.com,HERE&NOW Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29798072/2024/5/27/3d1484ca-faeb-44a1-95e9-219d9c41a08f1716806675557HERENOWGirlsSmartJoggersTrousers1.jpg",Trousers,₹593,[],HERE&NOW,,1739500787.793047,FMZCDANy8h2JIC6aZwJi
Men Lightweight Puffer Jacket,https://www.myntra.com/jackets/roadster/roadster-men-lightweight-puffer-jacket/26074148/buy,myntra.com,Roadster Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26074148/2023/12/5/454ed4d3-960d-462f-8b7f-47044d2a476f1701769428022-Roadster-Men-Jackets-4061701769427683-1.jpg",Jackets,₹927,[],Roadster,Polyester,1739500509.843028,FNlyRo9cD7e8tr80FxmY
Women Blue Pure Cotton Jogger High-Rise Non-Stretchable Clean Look Jeans,https://www.myntra.com/jeans/sassafras/sassafras-women-blue-pure-cotton-jogger-high-rise-non-stretchable-clean-look-jeans/13000414/buy,myntra.com,SASSAFRAS Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13000414/2020/12/3/4b6ac67e-3089-450c-83e4-f0362b930af91606971728255-SASSAFRAS-Women-Jeans-7971606971722019-1.jpg",Jeans,₹799,[],SASSAFRAS,,1739501297.66127,FROzrQWl2L2xzqhIvTbD
Highlander Men Dusty Checked Slim Fit Shirt,https://www.myntra.com/shirts/highlander/highlander-men-dusty-checked-slim-fit-shirt/28086692/buy,myntra.com,HIGHLANDER Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28086692/2024/12/20/c13c2923-fb34-4aaf-97c6-5f212ac5f5fc1734703419780-Highlander-Men-Dusty-Checked-Slim-Fit-Shirt-1701734703419319-1.jpg",Shirts,₹431,[],HIGHLANDER,,1739499487.010685,FWFl9cuzYLoG7cclvspV
Plus Size Mickey Mouse Tie & Dye Printed Pure Cotton Oversized T-shirt,https://www.myntra.com/tshirts/veirdo/veirdo-plus-size-mickey-mouse-tie--dye-printed-pure-cotton-oversized-t-shirt/30620954/buy,myntra.com,VEIRDO Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/17/ZcsMtOm2_1dedc26ffcbc46a28ce1d50ff5b294a2.jpg",Tshirts,₹599,[],VEIRDO,Pure Cotton,1739499551.657441,FeKSM4E07RHL6pJdf88o
Varsity Cool Printed Oversized Cotton Terry Sweatshirts,https://www.myntra.com/sweatshirts/dressberry/dressberry-varsity-cool-printed-oversized-cotton-terry-sweatshirts/30099407/buy,myntra.com,DressBerry Sweatshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30099407/2024/9/21/5f26355d-3f52-475c-970e-94a6c077158f1726908901420-DressBerry-Women-Sweatshirts-4191726908900807-1.jpg",Sweatshirts,₹564,[],DressBerry,,1739503432.35973,FibZcW8FJiXy6HiPuaf7
Men Blue Carrot Fit Stretchable Jeans,https://www.myntra.com/jeans/roadster/roadster-men-blue-carrot-fit-stretchable-jeans/14638034/buy,myntra.com,Roadster Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14638034/2021/10/5/a320567b-16b8-4157-9dbe-c07e01eebe331633424730215-Roadster-Men-Jeans-4341633424729525-1.jpg",Jeans,₹989,[],Roadster,,1739501328.58761,FslagycdKbQuWq4kzIUx
Men Light Fade Straight Fit Jeans,https://www.myntra.com/jeans/pepe+jeans/pepe-jeans-men-light-fade-straight-fit-jeans/22189938/buy,myntra.com,Pepe Jeans Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22189938/2023/3/2/b182a55f-133d-45be-aff7-642a722c3eaf1677735317879PepeJeansMenBlueLightFadeJeans4.jpg",Jeans,₹2087,[],Pepe Jeans,,1739501294.10174,FtRnxaFYL8kX1uItVcpR
Men Low-Rise Stretchable Cargo  Jeans,https://www.myntra.com/jeans/kotty/kotty-men-low-rise-stretchable-cargo--jeans/29669112/buy,myntra.com,Kotty Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29669112/2024/5/21/452d527a-2770-46b2-a0af-21b9e7e136f41716287422177KottyMenJeanLow-RiseSlashKneeStretchableJeans1.jpg",Jeans,₹699,[],Kotty,,1739500407.038086,FvP3dbNOicHKYnIb8Qbo
Graphic Printed Drop Shoulder Sleeves Pure Cotton Oversized T-shirt,https://www.myntra.com/tshirts/stormborn/stormborn-graphic-printed-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/25072146/buy,myntra.com,Stormborn Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25072146/2023/9/20/2b8f6605-37e5-4fce-b252-161b77cd2e821695179074740StormbornMenGreenStripedAppliqueT-shirt1.jpg",Tshirts,₹449,[],Stormborn,Pure Cotton,1739499772.363353,Fz0POegNDwABbVgw3fXF
Ribbed Cuban Collar Corduroy Oversized Casual Shirt,https://www.myntra.com/shirts/here%26now/herenow-ribbed-cuban-collar-corduroy-oversized-casual-shirt/26428062/buy,myntra.com,HERE&NOW Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26428062/2023/12/14/279e43a8-361f-4491-9177-a91b24364b551702574025215HERENOWMenBrownCasualShirt6.jpg",Shirts,₹719,[],HERE&NOW,,1739499270.281611,G2ZuGWX3ZpGL9w85pxET
Men Printed Drop-Shoulder Sleeves Oversized Pure Cotton T-shirt,https://www.myntra.com/tshirts/kook+n+keech+marvel/kook-n-keech-marvel-men-printed-drop-shoulder-sleeves-oversized-pure-cotton-t-shirt/30395815/buy,myntra.com,Kook N Keech Marvel Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30395815/2024/8/22/efd6f889-3cd8-4b6c-bb0a-f51997befa041724320709114-Kook-N-Keech-Marvel-Men-Tshirts-8391724320708753-1.jpg",Tshirts,₹395,[],Kook N Keech Marvel,Pure Cotton,1739499685.801218,G2mtSlwWrG2iX8ZRpY02
Typography Printed Oversized Pure Cotton T-shirt,https://www.myntra.com/tshirts/nobero/nobero-typography-printed-oversized-pure-cotton-t-shirt/27116906/buy,myntra.com,NOBERO Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27116906/2024/5/21/35bbbded-0f06-4ef2-b667-e13fa306449c1716265997556-NOBERO-Typography-Printed-Oversized-Pure-Cotton-T-shirt-7991-7.jpg",Tshirts,₹599,[],NOBERO,Cotton,1739499655.279779,G5i5y1uOLkoXouyokWku
Men Solid Slim Fit Flat Front Formal Trousers,https://www.myntra.com/trousers/park+avenue/park-avenue-men-solid-slim-fit-flat-front-formal-trousers/22644044/buy,myntra.com,Park Avenue Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22644044/2023/5/9/99fbf1f0-b3dc-46b8-b248-943bb88d31a91683594347881-Park-Avenue-Men-Solid-Slim-Fit-Flat-Front-Formal-Trousers-20-1.jpg",Trousers,₹1149,[],Park Avenue,,1739501063.673477,G6zq7tOsqEDhHcfOGD2y
Men Tapered Fit Low-Rise Heavy Fade Clean Look Stretchable Jeans,https://www.myntra.com/jeans/pepe+jeans/pepe-jeans-men-tapered-fit-low-rise-heavy-fade-clean-look-stretchable-jeans/25561784/buy,myntra.com,Pepe Jeans Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25561784/2023/10/19/48641c9d-7774-4e7b-8780-01ab03f740e11697726484940PepeJeansMenBlueSlimFitLow-RiseLowDistressHeavyFadeStretchab1.jpg",Jeans,₹ 3599,[],Pepe Jeans,,1739500376.029501,GElgC8ZQpqG28dBTp1io
Men Striped Pockets T-shirt,https://www.myntra.com/tshirts/jack+%26+jones/jack--jones-men-striped-pockets-t-shirt/32695194/buy,myntra.com,Jack & Jones Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/FEBRUARY/7/LEXfk0sx_42624ca1c06e4679a0765115736395e0.jpg",Tshirts,₹ 2999,[],Jack & Jones,Polyester,1739499799.736052,GI72E9Hbg8GL5DF4wZ6J
Raglan Sleeves Typography Printed Oversized T-shirt,https://www.myntra.com/tshirts/maniac/maniac-raglan-sleeves-typography-printed-oversized-t-shirt/22208880/buy,myntra.com,Maniac Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg",Tshirts,₹547,[],Maniac,Cotton,1739499743.919845,GJpFBPBCnUGGPXHyHd61
Men Navy Blue Polo Collar Pure Compact Cotton Pure Cotton T-shirt,https://www.myntra.com/tshirts/arrow/arrow-men-navy-blue-polo-collar-pure-compact-cotton-pure-cotton-t-shirt/14610806/buy,myntra.com,Arrow Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/18/j27Zpbqi_36d8a1f6e26e418ca7ec7a8c75ca9a87.jpg",Tshirts,₹ 1499,[],Arrow,Pure Cotton,1739499990.136586,GRmGGLanPYtqLBh4sfoe
Men Itachi Moment Naruto Bio Finish Typography Printed Cotton Oversized T-shirt,https://www.myntra.com/tshirts/hikabae/hikabae-men-itachi-moment-naruto-bio-finish-typography-printed-cotton-oversized-t-shirt/31987355/buy,myntra.com,Hikabae Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31987355/2024/12/17/a412a989-f807-418e-980e-e8c038b3745b1734377382801HikabaeMenPrintedDrop-ShoulderSleevesPureCottonBioFinishT-sh1.jpg",Tshirts,₹1843,[],Hikabae,Pure Cotton,1739499709.336764,GUa6WVJP8Wwy0cOmdKcd
Women Rivet Embellished Tailored Jacket,https://www.myntra.com/jackets/mango/mango-women-rivet-embellished-tailored-jacket/31238830/buy,myntra.com,MANGO Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/11/8R1wv37B_0595fbe818de49e3b394d66ac96e1b46.jpg",Jackets,₹3493,[],MANGO,Polyester,1739500694.565772,GZdjsBLkDNzJyJXKbp0t
Women Striped Oversized Longline Tshirts,https://www.myntra.com/tshirts/dressberry/dressberry-women-striped-oversized-longline-tshirts/32465492/buy,myntra.com,DressBerry Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/24/02OPnbvK_badb3f85bfc14da886ed6ad7ab57d92a.jpg",Tshirts,₹349,[],DressBerry,Cotton,1739499941.330259,GaC1fGzAMARqn1CJowsl
Men Textured Original Tapered Fit Formal Trousers,https://www.myntra.com/trousers/arrow/arrow-men-textured-original-tapered-fit-formal-trousers/29976619/buy,myntra.com,Arrow Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29976619/2024/10/21/a1bd146c-681d-44c0-9a3e-bc40035da1591729501754982-Arrow-Men-Textured-Original-Tapered-Fit-Formal-Trousers-2121-1.jpg",Trousers,₹1319,[],Arrow,,1739500416.644823,Gd3KVlLTVdr65QbbRxMB
Men Pure Cotton Polo Collar T-shirt,https://www.myntra.com/tshirts/pepe+jeans/pepe-jeans-men-pure-cotton-polo-collar-t-shirt/21920222/buy,myntra.com,Pepe Jeans Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21920222/2023/2/10/291b485d-200b-4ef1-a9b2-6ffb88cb414e1676016653957KENNITHSolidpolo1.jpg",Tshirts,₹ 2199,[],Pepe Jeans,Pure Cotton,1739499947.335133,GoD4gNG4ZpzcVZfaC3LB
Printed Polo Collar T-shirt,https://www.myntra.com/tshirts/allen+solly/allen-solly-printed-polo-collar-t-shirt/31355871/buy,myntra.com,Allen Solly Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31355871/2025/1/2/1d771ede-d03f-46da-b906-69b39a6f3c581735809274872-Allen-Solly-Men-Tshirts-3631735809274493-1.jpg",Tshirts,₹1049,[],Allen Solly,Cotton,1739499975.427469,H0O2VCVjOCXnwSmkw2oq
Mid Rise Skinny Fit Jeans,https://www.myntra.com/jeans/ad+by+arvind/ad-by-arvind-mid-rise-skinny-fit-jeans/27825352/buy,myntra.com,AD By Arvind Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27825352/2024/2/23/9a7e3e17-074b-4ec3-8e3c-a8e288b0b7851708686976140ADByArvindMenSkinnyFitLowDistressLightFadeJeans1.jpg",Jeans,₹1741,[],AD By Arvind,,1739501118.327087,H5Ch75OEgICcfL524W06
Women Relaxed Fit High-Rise Clean Look Pure Cotton Jeans,https://www.myntra.com/jeans/bene+kleed/bene-kleed-women-relaxed-fit-high-rise-clean-look-pure-cotton-jeans/25524162/buy,myntra.com,Bene Kleed Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25524162/2023/10/17/b096bd20-ff9f-46e1-be5b-ade91c647b591697553740630WomenHighRiserelaxedfitCargoTrouserwithSnap1.jpg",Jeans,₹1557,[],Bene Kleed,,1739501146.989443,H5Nm3WnjCstQuasoEDOE
Slim Fit Long Sleeves Casual Shirt,https://www.myntra.com/shirts/here%26now/herenow-slim-fit-long-sleeves-casual-shirt/27449738/buy,myntra.com,HERE&NOW Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27449738/2024/2/8/40592534-0677-477f-b5ca-43d36b6dc5011707412731912HERENOWMenSlimFitCasualShirt6.jpg",Shirts,₹739,[],HERE&NOW,,1739499217.643701,H6fwwGqTkflkqJAxE8Ai
The Life Co. Women Wide Leg High-Rise Light Fade Stretchable Jeans,https://www.myntra.com/jeans/roadster/the-roadster-life-co-women-wide-leg-high-rise-light-fade-stretchable-jeans/25750012/buy,myntra.com,Roadster Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25750012/2024/1/5/d6cd42ac-37d4-429e-8f5e-049c98e87c9a1704456281818-Roadster-Women-Jeans-8721704456281394-1.jpg",Jeans,₹791,[],Roadster,,1739501155.191208,HAsiaAizfoLZEileLnKL
Men Slim Fit Formal Trousers,https://www.myntra.com/trousers/raymond/raymond-men-slim-fit-formal-trousers/29896822/buy,myntra.com,Raymond Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29896822/2024/7/10/59d821d4-fd5b-4c98-be04-882e388c7e501720591709166-Raymond-Men-Trousers-6711720591708271-1.jpg",Trousers,₹1034,[],Raymond,,1739500793.901873,HCTTLd4s0CrTO8LGq4wf
Boys Opaque Printed Formal Shirt,https://www.myntra.com/shirts/baesd/baesd-boys-opaque-printed-formal-shirt/28296792/buy,myntra.com,BAESD Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28296792/2024/3/16/08bc129c-3ee1-4235-990a-1f2f53dbbf5e1710574156862BAESDBoysOpaquePrintedFormalShirt1.jpg",Shirts,₹ 1899,[],BAESD,,1739499236.590871,HJ8xSIA4ECTlR8UoskC2
Men Relaxed Trousers,https://www.myntra.com/trousers/banana+club/banana-club-men-relaxed-trousers/29966680/buy,myntra.com,Banana Club Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29966680/2024/6/14/db5b042b-adfd-4ae0-a711-bdcd38ff0da81718360736872BananaClubMenRelaxedTrousers1.jpg",Trousers,₹2249,[],Banana Club,,1739500946.216213,HMh6144BVSDEejPimHJN
Women Graphic Printed Round Neck Cotton Oversized T-Shirt,https://www.myntra.com/tshirts/hellcat/hellcat-women-graphic-printed-round-neck-cotton-oversized-t-shirt/30313116/buy,myntra.com,HELLCAT Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30313116/2024/7/22/0135c045-efbc-4ab1-b66c-63e47e452ead1721644488311HELLCATWomenPrintedExtendedSleevesCutOutsT-shirt1.jpg",Tshirts,₹299,[],HELLCAT,Cotton,1739499570.044558,HMlsR5KS6ZboBjXEiQTG
Women Lavender Solid Padded Jacket,https://www.myntra.com/jackets/roadster/roadster-women-lavender-solid-padded-jacket/12698610/buy,myntra.com,Roadster Jackets,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12698610/2021/1/5/9ba226d4-12ee-4c98-8714-ef76bc41637c1609821867523-Roadster-Women-Jackets-1771609821864797-1.jpg",Jackets,₹1644,[],Roadster,,1739500646.444542,HQliQ1pDrwnksXNxY5ZH
Men Relaxed Mid Rise Trousers,https://www.myntra.com/trousers/banana+club/banana-club-men-relaxed-mid-rise-trousers/30706719/buy,myntra.com,Banana Club Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/24/4u4nSRIf_d0a80b40902e4ace976c9630a63f0476.jpg",Trousers,₹ 1999,[],Banana Club,,1739500784.70951,I0Sni4lUddPZ8DT2Hvno
Navy Blue Slim Fit Striped Pure Cotton Casual Shirt,https://www.myntra.com/shirts/the+indian+garage+co/the-indian-garage-co-navy-blue-slim-fit-striped-pure-cotton-casual-shirt/26158990/buy,myntra.com,The Indian Garage Co Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26158990/2023/12/1/c9ae7c2b-b33f-4b6f-9060-740e727985251701376765693TheIndianGarageCoMenNavyBlueSlimFitMultiStripesStripedCasual1.jpg",Shirts,₹623,[],The Indian Garage Co,,1739499309.405975,I2TbQIbTfW2AWVXhUBiK
Men Off White Self Design Polo Collar Pure Cotton T-shirt,https://www.myntra.com/tshirts/allen+solly/allen-solly-men-off-white-self-design-polo-collar-pure-cotton-t-shirt/17730616/buy,myntra.com,Allen Solly Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/18/soO2XPjL_4daea18d4ee64ff48e505b1fcadbc202.jpg",Tshirts,₹ 1699,[],Allen Solly,Pure Cotton,1739499925.838624,I7NX1Qf0fdIDFy0hxd1Y
Women Typography Print Crew Neck Stretch Cotton Basic Lounge T-shirt,https://www.myntra.com/lounge-tshirts/enamor/enamor-women-typography-print-crew-neck-stretch-cotton-basic-lounge-t-shirt/19640564/buy,myntra.com,Enamor Lounge Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19640564/2022/8/24/72532d50-27df-43cf-af62-3dd8b17305171661346600404EnamorWomensEssentialsE057-LongSleeveRoundNeckCottonLoungeTs1.jpg",Lounge Tshirts,₹559,[],Enamor,Cotton,1739499877.494148,IIZWThxTP6NbhPPR2fHY
Women Vintage Crew Neck Tshirt,https://www.myntra.com/tshirts/creatures+of+habit/creatures-of-habit-women-vintage-crew-neck-tshirt/30235609/buy,myntra.com,Creatures of Habit Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30235609/2024/7/16/a56d246d-7d62-40d5-9177-70fd9af95d2a1721108382047CreaturesofHabitWomenOrganicCottonRawEdgeT-shirt1.jpg",Tshirts,₹ 1599,[],Creatures of Habit,Organic Cotton,1739499162.954617,IRb4VyIfAAo3L9GG93fg
Men Abstract Printed Round Neck Cotton Oversized T-shirt,https://www.myntra.com/tshirts/flying+machine/flying-machine-men-abstract-printed-round-neck-cotton-oversized-t-shirt/31006643/buy,myntra.com,Flying Machine Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/NOVEMBER/26/mLhmNVlD_093815a25fba4a7db815569b854af6cf.jpg",Tshirts,₹604,[],Flying Machine,Cotton,1739499689.300703,IX7sSCDIUwcAmBcpwihg
Men Slim Fit Opaque Casual Shirt,https://www.myntra.com/shirts/here%26now/herenow-men-slim-fit-opaque-casual-shirt/27729354/buy,myntra.com,HERE&NOW Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27729354/2024/2/20/a4d9f8ed-a6b4-46ae-afd8-0ed13ed2d0021708433603038HERENOWMenSlimFitOpaqueCasualShirt5.jpg",Shirts,₹699,[],HERE&NOW,,1739499233.462667,IY4D38BPYT5JRTqS2iRs
Women Flared High-Rise Stretchable Jeans,https://www.myntra.com/jeans/kotty/kotty-women-flared-high-rise-stretchable-jeans/30980163/buy,myntra.com,Kotty Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/16/215IW6Yt_1565dec151da4e4cbd74f7dda3d92046.jpg",Jeans,₹749,[],Kotty,,1739501127.575736,IZ7JyOXcmMaqa4IK6Ctw
Men Garfiled Bio Finish Typography Printed Round Neck Cotton Oversized T-shirt,https://www.myntra.com/tshirts/hikabae/hikabae-men-garfiled-bio-finish-typography-printed-round-neck-cotton-oversized-t-shirt/31987340/buy,myntra.com,Hikabae Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31987340/2024/12/17/a69bd06d-ed04-4307-8208-425a45fa61d91734377323272HikabaeMenPrintedDrop-ShoulderSleevesPureCottonBioFinishT-sh1.jpg",Tshirts,₹1648,[],Hikabae,Pure Cotton,1739499616.962353,IbhCR5dGGoaKL5r9rFh5
Men Smart Slim Fit Solid Cotton Chinos Trousers,https://www.myntra.com/trousers/nautica/nautica-men-smart-slim-fit-solid-cotton-chinos-trousers/31288681/buy,myntra.com,Nautica Trousers,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31288681/2024/10/22/13b541c4-a6d9-4a8c-9af5-4cb97aa9e0831729608170283-Nautica-Men-Smart-Slim-Fit-Solid-Cotton-Chinos-Trousers-9671-1.jpg",Trousers,₹869,[],Nautica,,1739500929.377247,IcRqBfZem2fMiglypvZD
Women Flared Cargo Jeans,https://www.myntra.com/jeans/harvard/harvard-women-flared-cargo-jeans/29554930/buy,myntra.com,Harvard Jeans,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29554930/2024/9/25/9fa21f42-664f-40e0-a9e7-e861e59c97d21727247017204-Harvard-Women-Jeans-9531727247016695-1.jpg",Jeans,₹898,[],Harvard,,1739501231.793821,IjvRiHGynagpMTfhjzFX
Men Ghost Rider Bio Finish Typography Printed Round Neck Cotton Oversized T-shirt,https://www.myntra.com/tshirts/hikabae/hikabae-men-ghost-rider-bio-finish-typography-printed-round-neck-cotton-oversized-t-shirt/31987351/buy,myntra.com,Hikabae Tshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31987351/2024/12/17/cc134226-2790-421c-87e5-b314d8e1a0401734377305741HikabaeMenPrintedDrop-ShoulderSleevesPureCottonBioFinishT-sh1.jpg",Tshirts,₹1648,[],Hikabae,Pure Cotton,1739499563.746051,IkebqtY5MjaqsPIPdrPC
India Slim Checked Drop-Shoulder Sleeves Pure Cotton Oversized Casual Shirt,https://www.myntra.com/shirts/powerlook/powerlook-india-slim-checked-drop-shoulder-sleeves-pure-cotton-oversized-casual-shirt/24920798/buy,myntra.com,Powerlook Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24920798/2023/9/12/ed75d67d-3948-48e9-8074-4093866cd99e1694522550528PowerlookMenMulticolouredOpaqueCheckedCasualShirt1.jpg",Shirts,₹935,[],Powerlook,,1739499368.514645,Iot4xDtIE4Ic23Dc0vkT
Spread Collar Twill Shirt,https://www.myntra.com/shirts/h%26m/-hm-spread-collar-twill-shirt/31437847/buy,myntra.com,H&M Shirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/28/2mRIcEMe_811af75d670e4fd29678ad36e925aa94.jpg",Shirts,₹1274,[],H&M,,1739499223.951423,J0JaTlw73NWnm4QSC27F
Printed Sweatshirts,https://www.myntra.com/sweatshirts/h%26m/hm-printed-sweatshirts/31980208/buy,myntra.com,H&M Sweatshirts,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/31980208/2024/12/16/cc7be0e5-474b-4836-9a82-bf9bae06f9dd1734340656286HMPrintedSweatshirts1.jpg",Sweatshirts,₹ 799,[],H&M,,1739503455.802779,J5vfxKbn32i4hWE3jbeA
